SET_ISBN_THIRTEEN_NO,SGVL_ISBN_NO,VLM_NM,TITLE_NM,ISBN_ORGT_NO
"9791163113737","9791136732859","4","호랑이굴다이닝","9791136732859 (4)"
"9791163110415","9791136743053","6","성녀의마력은만능입니다","9791136743053 (6)"
"9791131981375","9791138001076","12","비스타즈","9791138001076 (12)"
"9791131981375","9791138002332","13","비스타즈","9791138002332 (13)"
"9791131981375","9791138005357","14","비스타즈","9791138005357 (14)"
"9791189126469","9791136732606","17","청춘x기관총","9791136732606 (17)"
"9791189126469","9791136740106","18","청춘x기관총","9791136740106 (18)"
"9791189126438","9791136734570","9","비질랜티","9791136734570 (9)"
"9791133480593","9791136278364","4","이건사랑이아니니까잘부탁해","9791136278364 (4)"
"9791133482290","9791136278685","19","용사가죽었다","9791136278685 (19)"
"9791133483389","9791136278104","10","집사들의침묵","9791136278104 (10)"
"9791133483389","9791136284129","11","집사들의침묵","9791136284129 (11)"
"9791188988181","9791134886875","13","괴물사변","9791134886875 (13)"
"9791133426874","9791136281302","8","시노비사중주","9791136281302 (8)"
"9791163115373","9791136731647","8","신들에게주워진남자","9791136731647 (8)"
"9788960526440","9791191225983","9","고바야시네메이드래곤","9791191225983 (9)"
"9788960526440","9791191225990","10","고바야시네메이드래곤","9791191225990 (10)"
"9791162336052","9791164138937","12","뼈뼈사우루스","9791164138937 (12)"
"9791125696445","9791134887117","11","야쿠모씨는밥을먹이고싶어","9791134887117 (11)"
"9791128395376","9791128370618","7","아야메의유유자적육식일기","9791128370618 (7)"
"9791128395376","9791128370625","8","아야메의유유자적육식일기","9791128370625 (8)"
"9791128394362","9791128370946","10","거실의마츠나가씨","9791128370946 (10)"
"9791133485345","9791136282354","5","북북서로구름과함께가라","9791136282354 (5)"
"9791133488032","9791136280459","13","city","9791136280459 (13)"
"9791133488094","9791136282330","8","마녀와야수","9791136282330 (8)"
"9788992161657","9791157821099","5","소능력자들","9791157821099 (5)"
"9791125650133","9791134883102","19","하렘혼","9791134883102 (19)"
"9791133451999","9791136274960","6","사신과은의기사","9791136274960 (6)"
"9791163890140","9791138400961","5","내세에는남남이좋겠어","9791138400961 (5)"
"9791134805159","9791134885472","15","큐이디iff","9791134885472 (15)"
"9791128395352","9791128370687","4","처음사람","9791128370687 (4)"
"9788952773524","9791165796136","5","플래시","9791165796136 (Vol. 5)"
"9791134806941","9791134882938","9","스파이스와커스터드","9791134882938 (9)"
"9791133493197","9791136276001","15","80세마리코","9791136276001 (15)"
"9791133493197","9791136282088","16","80세마리코","9791136282088 (16)"
"9791163892595","9791166118869","7","도우미여우센코씨","9791166118869 (7)"
"9791127842284","9791127862411","12","페르소나4","9791127862411 (12)"
"9791134815813","9791134883010","15","우리는공부를못해","9791134883010 (15)"
"9791134815813","9791134887155","16","우리는공부를못해","9791134887155 (16)"
"9791134815813","9791134890971","17","우리는공부를못해","9791134890971 (17)"
"9791134808563","9791134885250","13","에덴즈제로","9791134885250 (13)"
"9788960526549","9791191225556","9","책벌레의하극상","9791191225556 (9)"
"9791163522287","9791108151442","66","도시정벌xi","9791108151442 (66)"
"9791163522287","9791108164824","67","도시정벌xi","9791108164824 (67)"
"9791163522287","9791108164831","68","도시정벌xi","9791108164831 (68)"
"9791163522287","9791108164848","69","도시정벌xi","9791108164848 (69)"
"9791163522287","9791108164855","70","도시정벌xi","9791108164855 (70)"
"9791163522287","9791108164862","71","도시정벌xi","9791108164862 (71)"
"9791163522287","9791108164879","72","도시정벌xi","9791108164879 (72)"
"9791163522287","9791108174939","73","도시정벌xi","9791108174939 (73)"
"9791163522287","9791108174946","74","도시정벌xi","9791108174946 (74)"
"9791163522287","9791108174953","75","도시정벌xi","9791108174953 (75)"
"9791163522287","9791108174960","76","도시정벌xi","9791108174960 (76)"
"9791163522287","9791108174977","77","도시정벌xi","9791108174977 (77)"
"9791163522287","9791108174984","78","도시정벌xi","9791108174984 (78)"
"9791163522287","9791108186949","79","도시정벌xi","9791108186949 (79)"
"9791163522287","9791108186956","80","도시정벌xi","9791108186956 (80)"
"9791131992364","9791138002318","4","냥아치","9791138002318 (4)"
